"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Población activa, mujeres (% de la población activa total)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Población activa, mujeres (% de la población activa total)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.6230654850165","45.676764183886","45.7651240426383","45.8711788406442","45.988799722779","46.15778671156","46.2859131448507","46.3963513161734","46.5092737027552","46.6284871098632","46.7384161087721","46.8256121009554","46.9278883326722","47.0333581606686","47.1344924883658","47.2314580554205","47.2494046272174","47.2311096882761","47.2077573436532","47.1683744428757","47.1172160114372","47.07599621765","47.0094278993696","47.0277118790059","47.0269690146254","47.0601377439274","47.0939888222239","47.1926482102788","47.2842823977865","47.3720471407331","47.0431908294897","47.1308691239491",
"Afganistán","AFG","Población activa, mujeres (% de la población activa total)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.9270250106981","15.8874641058173","15.814877289331","15.7219548917149","15.6624345110471","15.6895643009718","15.5682111974214","15.4788652368569","15.4316498299434","15.4048429649882","15.372285057783","15.4620090911008","15.576636837717","15.7019961987959","15.835964551521","15.9830046093713","15.872370728636","15.7755520520047","15.714738112016","15.7135508118862","15.7850319147431","16.0865478259254","16.4542777722815","17.3451899308394","18.2753413176302","19.2513388108005","20.3102990536115","21.4078622538974","21.7414856541674","22.0738152080797","18.9191924372844","17.4431630475826",
"","AFW","Población activa, mujeres (% de la población activa total)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.8648444618403","45.8452598646419","45.8228479764298","45.8343984889878","45.8627144867584","45.9051953422984","45.8942275110156","45.9056510209885","45.9323083222122","45.9751200105351","46.0175069545707","45.9927444704478","45.9774291079292","45.9549738388443","45.9328087324299","45.9087472775305","45.8417072308249","45.8315143707391","45.7854685494775","45.7421089726273","45.7022963865552","45.6978985041254","45.6230773968484","45.5558017345627","45.4346499240031","45.3518171529889","45.2019570203977","45.056666545572","44.9418260773891","44.8410458476222","44.6688532051524","44.6415091897818",
"Angola","AGO","Población activa, mujeres (% de la población activa total)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.3298351211351","48.3772874264268","48.4360357236571","48.5050373279963","48.5865125356421","48.6801664790612","48.7460174514498","48.8269460321585","48.920022536988","49.0202058262852","49.1249497088945","49.1896405367085","49.2638637777783","49.344128787981","49.4266003565507","49.5059361547406","49.5547697890892","49.6081058507861","49.6611989488378","49.7109631442729","49.7608765512312","49.2643705658515","49.2872882523068","49.3219502495506","49.3637050201082","49.414205682129","49.4736518417103","49.5357695892226","49.6065857510519","49.6900518971523","49.4720195953027","49.5197594617321",
"Albania","ALB","Población activa, mujeres (% de la población activa total)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.5660858416621","41.6985491874692","42.4746610817004","42.9245605977183","43.3171857480324","43.4213331847477","43.021589218912","42.8113037978897","42.1117936145534","41.4146803318989","40.9751475839953","40.8006685545995","40.8204713187843","41.2076566859963","41.6249546379217","42.0212271930976","42.3966621055048","42.746953638946","43.0794369683012","42.0201714802174","42.610831709991","43.8898468567684","42.782548004721","41.4363786898765","40.6723717656156","41.8914325440893","42.9258806922292","42.2084783303365","42.7202643486612","43.2590429531042","42.6188674741578","42.8736208331868",
"Andorra","AND","Población activa, mujeres (% de la población activa total)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Población activa, mujeres (% de la población activa total)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9312200335304","20.0227760567861","20.208094624231","20.0619176545089","20.3778213410022","20.3955810161827","20.4492129078562","20.4335043441487","20.4829764096363","20.8583046177277","21.0665361502704","21.195362261378","20.7644917350613","20.8985501078077","20.9836948603888","21.0647557945573","21.1758813142213","21.5272892919774","21.1640654160632","21.212815347443","21.0705769121462","21.121468975767","21.1912640869965","21.4054195744135","21.5780109112192","21.8016746623158","21.9989128561765","21.5917934433886","20.8628373715393","20.5831586923","20.6184824294943","20.6107024552348",
"Emiratos Árabes Unidos","ARE","Población activa, mujeres (% de la población activa total)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.9586536508174","11.1375222005459","11.276158885909","11.4793445093756","11.5587390378548","11.6347328687176","11.7660061520853","11.8753483719949","11.9639391552705","12.0344958761192","12.0900927072518","12.2857561480478","12.4950513389097","12.6081637085177","12.5068340126644","12.1928724928367","11.7715794854418","11.3786523743723","11.1556931790696","11.1889197867009","11.4909921407298","12.1524111386196","13.0422396560941","14.0906807215781","15.1643486196877","16.133728260301","16.8266156514866","17.5075011039677","16.9333948846213","17.0186807772394","16.7449148605913","17.0022058105065",
"Argentina","ARG","Población activa, mujeres (% de la población activa total)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.7254480827816","40.3030897694256","40.821964904774","41.3648526270988","41.7558538446458","41.578600848371","41.938364820787","42.4534941376813","42.7036863153341","42.4831520961819","42.4213459333398","42.1071264824963","41.2992249762733","41.8047636355714","42.3157334591542","41.8648397437924","42.1866228116984","41.9237772957336","41.6570117407159","42.0154800104474","41.4637191328645","41.351120858553","41.6163741918177","41.5208343258382","41.6677800556245","41.8668221891244","42.0696156413272","42.2767696487623","42.9825095568517","43.2075841949894","43.2160045879469","42.9584976051152",
