codigo,pais,parlamentos2020,Por_Vulnerable_Femenino_2015,Poblacion_Act_Mujeres2015,Gasto_public_educacion_2015,PBI_2015
IDB,mezcla de la AIF,21.06946984,75.72831809,37.3620219348911,13.21563482,516.4834364
IDN,Indonesia,20.34782609,56.62999916,38.0947575828055,20.50329971,671.0986097
IDX,Sólo AIF,22.62144616,82.05296856,41.8818004604287,16.36448002,430.5763102
IND,India,14.36464088,79.94999886,21.1000261285005,15.69221973,441.9987604
IRL,Irlanda,22.5,6.159999967,45.2124809528149,12.93684006,26338.10775
IRN,"Irán, República Islámica del",5.594405594,42.3900013,17.1328582025868,18.56875038,1756.896803
IRQ,Iraq,26.443769,20.98000026,16.2693957464101,13,1617.467894
ISL,Islandia,38.0952381,6.50000006,47.5016868846565,17.15513992,32381.62524
ISR,Israel,27.5,6.909999773,47.1320120760646,15.49291039,19129.19479
ITA,Italia,35.71428571,14.23999989,42.2151225171952,8.095910072,22005.05454
JAM,Jamaica,28.57142857,30.46000063,45.1838356277827,20.05147934,3375.674975
JOR,Jordania,11.53846154,1.57000003,20.5661978922228,11.34000015,1619.535865
KAZ,Kazajstán,27.10280374,24.84999977,48.5659257728353,12.19303989,1130.117844
KEN,Kenya,21.7765043,62.03999901,48.8322688673477,16.6646595,414.6793098
KGZ,Kirguistán,16.52173913,33.95999908,41.02537710109,15.71675968,258.0492288
KWT,Kuwait,6.349206349,0.03999999911,26.8843952317823,9.514309883,15435.13113
LAC,América Latina y el Caribe (excluido altos ingresos),34.78630059,32.73033147,41.2082877250058,16.95742989,3852.368101
LBN,Líbano,4.6875,13.09000039,24.5025312331312,6.300000191,4640.384413
LCA,Santa Lucía,16.66666667,17.09000075,46.8690475003241,16.45298004,5947.891784
LCN,América Latina y el Caribe,32.75779376,32.25902424,41.1932524559044,16.27905464,4043.520614
LDC,Países menos desarrollados: clasificación de las Naciones Unidas,24.34816448,83.58774651,42.4685170369672,13.85023022,295.7049534
LIC,Países de ingreso bajo,22.32503365,87.1258089,43.9637064911068,13.22008038,424.1723845
LKA,Sri Lanka,5.381165919,44.06999969,34.642589914292,10.95026016,838.8834628
LMC,Países de ingreso mediano bajo,21.75048988,68.42361661,31.2622584833263,15.70448971,603.4251255
LMY,Ingreso mediano y bajo,23.92642428,54.98553575,38.131574161473,15.59272003,1107.768402
LSO,Lesotho,23.33333333,58.30000019,45.2087314708437,14,451.9269342
LTE,avanzada del dividendo demográfico,22.19428146,42.29356193,44.0715725979376,13.5471096,1526.972084
LTU,Lituania,26.95035461,8.699999928,50.4599963617262,12.28826046,3113.17906
LUX,Luxemburgo,30,6.370000124,45.5098812015653,9.334429741,50872.44927
LVA,Letonia,30,6.920000196,49.6542219622346,14.12740993,3151.577018
MDA,República de Moldova,24.75247525,30.44999933,48.6701441281575,18.18217087,399.6207703
MDG,Madagascar,17.8807947,90.00999832,48.8974563245783,16.9629097,279.9212866
MDV,Maldivas,4.597701149,36.90999985,25.6919149771734,11.44925022,2154.268226
MEA,Oriente Medio y Norte de África,18.32911392,30.54124067,20.8057595973161,12.46226978,3017.658257
MEX,México,48.2,30.60999966,37.49982221611,19.01874924,6157.193044
MIC,Ingreso mediano,24.35909091,51.44751225,37.5848893593641,15.69221973,1166.84011
MLI,Malí,27.89115646,89.55000114,44.1702006874127,18.15549088,323.2871441
MLT,Malta,13.43283582,5.440000206,39.2913707778566,13.15089035,10633.60338
